"","date","county","fips","hosptot_mean","hosptot_CI95l","hosptot_CI95u","icutot_mean","icutot_CI95l","icutot_CI95u","cummort_mean","cummort_CI95l","cummort_CI95u"
"742","2020-04-20","Marin County",6041,6.07046797117293,5.67040843564506,6.32518351822246,2.44413079868366,2.27958994175289,2.5648672041916,6.90962178952102,6.66282701912559,7.20493013135722
"743","2020-04-21","Marin County",6041,6.02615193782098,5.61941229238625,6.28457509514057,2.41819753633007,2.25137464964074,2.53922349686871,7.08185647189128,6.82872528016801,7.38252295033239
"744","2020-04-22","Marin County",6041,5.99138048708661,5.58032394087389,6.25382312997836,2.39776389904261,2.23037810053671,2.51892040220961,7.25254881887679,6.99176108065572,7.55832705799871
"745","2020-04-23","Marin County",6041,5.9658493170054,5.55099427353005,6.2320562943595,2.38255133448818,2.21610069590011,2.50370547907056,7.4220807278702,7.15377672685093,7.73273860067881
"746","2020-04-24","Marin County",6041,5.94923468967958,5.53104481049894,6.21286658708067,2.37227804205073,2.20638533432117,2.49347183859294,7.59081281356022,7.31513006335094,7.90613127621069
"747","2020-04-25","Marin County",6041,5.94120346961719,5.52009312334475,6.20204460282425,2.36666508442612,2.20119107350741,2.48802376820812,7.75908472651536,7.47589313231894,8.0788566572587
"748","2020-04-26","Marin County",6041,5.94142107299229,5.51776054798528,6.20146285453392,2.36544102400716,2.20050133569844,2.486874313627,7.92721579706194,7.63709359478269,8.2512448557377
"749","2020-04-27","Marin County",6041,5.94955767519963,5.52367811074858,6.21062004178838,2.36834534669018,2.20403860176139,2.4894606871133,8.09550591667698,7.80017600924574,8.4236054362915
"750","2020-04-28","Marin County",6041,5.96529297565191,5.53749098431954,6.22885507890131,2.37513089797018,2.21154145685014,2.49583496485489,8.26423658569578,7.96378111520247,8.59622850417307
"751","2020-04-29","Marin County",6041,5.98831977541008,5.55886174303615,6.25582410930988,2.38556552229996,2.22227548610782,2.50584391836635,8.4336720701628,8.1281639113122,8.76938590759496
"752","2020-04-30","Marin County",6041,6.01834658485629,5.5874726453574,6.28509460738421,2.39943306668363,2.23652112852454,2.51927819210075,8.60406062243771,8.29066434623271,8.9433325069757
"753","2020-05-01","Marin County",6041,6.05509944496746,5.62302713500967,6.32342258406104,2.41653388320757,2.2540734929408,2.5359434346968,8.77563572999246,8.45245836460905,9.11830747380705
"754","2020-05-02","Marin County",6041,6.09832311647709,5.66525072089245,6.36628182645034,2.43668494243604,2.27474082467354,2.55569049133282,8.94861736496937,8.61251052548942,9.2945355903903
"755","2020-05-03","Marin County",6041,6.14778176593276,5.71389136881503,6.41518726016233,2.45971965001326,2.29834961195453,2.57836715584271,9.12321321375488,8.77424647450455,9.47222852869255
"756","2020-05-04","Marin County",6041,6.20325925595642,5.76871951506396,6.47072133780278,2.48548744209717,2.32474398028601,2.60377549778837,9.29961987127669,8.93786737753395,9.65158609228473
