date,county,fips,hosptot_mean,hosptot_CI95l,hosptot_CI95u,icutot_mean,icutot_CI95l,icutot_CI95u,cummort_mean,cummort_CI95l,cummort_CI95u
2020-08-06,Stanislaus County,6099,204.14988594573,200.258280086782,207.830981030873,62.331215696167,60.5137165585954,63.9725584388409,168.089689614234,164.726078462578,171.533338422884
2020-08-07,Stanislaus County,6099,202.112519623486,198.285501076841,205.754934117002,61.8952046438397,60.119600846184,63.5147586367313,172.46231950336,169.049771907588,175.950537879454
2020-08-08,Stanislaus County,6099,199.997593402661,196.225093476129,203.543821567132,61.413340125199,59.6822690671563,63.0057804713509,176.801155887367,173.387035309229,180.32052989693
2020-08-09,Stanislaus County,6099,197.814561812822,194.098587319593,201.293553523327,60.890438599506,59.1861755664981,62.4407990305372,181.103299971826,177.705806918097,184.641249746392
2020-08-10,Stanislaus County,6099,195.572193094879,191.967911579757,199.019193144637,60.3309984728326,58.6536050402158,61.8594554975989,185.366168351951,181.963510497028,188.92099707935
2020-08-11,Stanislaus County,6099,193.278603826391,189.826758406617,196.69185905366,59.7392066662386,58.08317701661,61.2657470082237,189.587471373483,186.166856867653,193.157520907752
2020-08-12,Stanislaus County,6099,190.941294035065,187.550440216736,194.31926615997,59.1189479644821,57.4606376645995,60.6602824430132,193.765192124347,190.310775723479,197.348844551698
2020-08-13,Stanislaus County,6099,188.567182281282,185.199769174351,191.894994611373,58.4738164270754,56.8117942062161,60.0291245109416,197.897566202062,194.406735301534,201.493245047459
2020-08-14,Stanislaus County,6099,186.162640297023,182.809304072803,189.431527847856,57.807128264725,56.1700900186809,59.3689673151726,201.98306236052,198.455763022787,205.589233475538
2020-08-15,Stanislaus County,6099,183.733526859043,180.362799512516,186.924939633597,57.121935689592,55.522980453749,58.6731169029932,206.020364105731,202.455452744542,209.635536275047
2020-08-16,Stanislaus County,6099,181.285220650343,177.928578059135,184.413964440682,56.4210413387147,54.8370220757103,57.9690619146818,210.008352282224,206.421604806267,213.631861460527
2020-08-17,Stanislaus County,6099,178.822651927779,175.47128019453,181.938927752951,55.7070129477377,54.1290213015923,57.2650962440625,213.946088669376,210.362148383474,217.583612935531
2020-08-18,Stanislaus County,6099,176.350332866542,172.948600571929,179.441670970495,54.9821980181973,53.4105116161719,56.5493253603963,217.832800588972,214.221441649101,221.483653600952
2020-08-19,Stanislaus County,6099,173.872386495786,170.42023418621,176.957876824981,54.2487382773914,52.6836229644029,55.8239126901339,221.667866511281,217.961011870342,225.342259024417
2020-08-20,Stanislaus County,6099,171.39257417526,167.912166755415,174.493337045909,53.5085837766042,51.9502938703203,55.0908327379897,225.450802636016,221.74223748104,229.157258418292
2020-08-21,Stanislaus County,6099,168.914321591442,165.42869640221,172.015804894778,52.7635065123272,51.2122851081753,54.3192555375305,229.181250416483,225.483398728156,232.927860868635
2020-08-22,Stanislaus County,6099,166.440743274607,162.96129097371,169.555517216419,52.0151134872266,50.4724674433249,53.5579976802348,232.858964989208,229.151044838185,236.611573461765
2020-08-23,Stanislaus County,6099,163.974665656244,160.497727716182,167.116472276496,51.264859153891,49.7264849101141,52.7997455452939,236.483804467304,232.709998030039,240.24296805065
2020-08-24,Stanislaus County,6099,161.518648700164,158.010253950571,164.712633457343,50.514057205737,48.9853928585169,52.0400087392806,240.055720053189,236.265055035685,243.820683667135
2020-08-25,Stanislaus County,6099,159.075006151163,155.580959329076,162.327679399684,49.7638916965957,48.2431630445008,51.3041340305672,243.574746924843,239.768747824306,247.345548870761
2020-08-26,Stanislaus County,6099,156.645824452774,153.130362937265,159.953826106348,49.0154274841172,47.5028268708165,50.5612320533696,247.040995849367,243.220576135306,250.847989891933
2020-08-27,Stanislaus County,6099,154.232980391032,150.71322016356,157.582243912122,48.2696200027898,46.7607896267422,49.8200962188558,250.45464547785,246.620681011805,254.273770067733
2020-08-28,Stanislaus County,6099,151.838157524668,148.299473523074,155.237328775103,47.5273243805647,46.0155683506346,49.09805757808,253.81593527644,249.969265754442,257.660546720715
2020-08-29,Stanislaus County,6099,149.4628614641,145.89714625149,152.919852739853,46.7893039192387,45.2724757403647,48.3687719357314,257.125159049824,253.245809778594,260.994657394351
2020-08-30,Stanislaus County,6099,147.108434062333,143.517364766842,150.612834162584,46.0562379632333,44.535094191297,47.6289843879479,260.38265901491,256.465514475038,264.29357130353
2020-08-31,Stanislaus County,6099,144.776066580663,141.161318408891,148.320265623948,45.3287291845269,43.8254579003055,46.8943263544264,263.588820384414,259.621365717587,267.554798760486
2020-09-01,Stanislaus County,6099,142.466811891099,138.830053106152,146.050479080563,44.6073103135179,43.1236223834376,46.1653560840621,266.744066421984,262.719942762298,270.775223818672
2020-09-02,Stanislaus County,6099,140.181595775874,136.524483221882,143.806211200826,43.8924503467206,42.4167391127028,45.4425671185477,269.848853932653,265.764427580604,273.946003820762
2020-09-03,Stanislaus County,6099,137.921227382412,134.260845938953,141.634712916039,43.1845602626281,41.7014544471507,44.7263940161853,272.903669154477,268.732355777278,277.030464515535
2020-09-04,Stanislaus County,6099,135.68640888988,132.035242983151,139.447504539353,42.4839982769507,40.9911625428875,44.0172176189613,275.909024019381,271.690632609374,280.01674581269
